data,hora,taxa
2023/10/02,15:19:27,12.83027440354442
2023/10/02,15:19:30,12.204368930865536
2023/10/02,15:19:33,12.977676875750609
2023/10/02,15:19:36,13.054241279170851
2023/10/02,15:19:38,12.887032140348563
2023/10/02,15:19:41,12.218396029832451
2023/10/02,15:19:44,12.283959667481684
2023/10/02,15:19:47,12.587695029340178
2023/10/02,15:19:50,13.1117439881234
2023/10/02,15:19:53,12.723848587028826
2023/10/02,15:29:25,12.251105335004022
2023/10/02,15:29:28,12.964572882661969
2023/10/02,15:29:30,12.152923984331093
2023/10/02,15:29:32,12.355256130599336
2023/10/02,15:29:34,12.152878448655697
2023/10/02,15:29:36,12.715156874646576
2023/10/02,15:29:38,12.577883721994027
2023/10/02,15:29:40,12.573580251343314
2023/10/02,15:29:42,12.997608867963805
2023/10/02,15:29:45,12.50536123530262
2023/10/02,15:31:32,12.519552928544591
2023/10/02,15:31:34,12.39169693378239
2023/10/02,15:31:36,12.60692169767212
2023/10/02,15:31:38,12.298852318423503
2023/10/02,15:31:40,12.594832035198749
2023/10/02,15:31:43,13.006616482321762
2023/10/02,15:31:45,12.242564780588502
2023/10/02,15:31:47,13.11945594922418
2023/10/02,15:31:50,12.386293470290102
2023/10/02,15:31:52,12.757548031053528
